DATE,CLOSE,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
34589,391.67,390.2,393.55,393.71,396.85,403.88,404.47,407.1,397.79,396.69,391.67
34586,394.84,393.55,393.71,396.85,403.88,404.47,407.1,397.79,396.69,391.67,394.84
34585,400.75,393.71,396.85,403.88,404.47,407.1,397.79,396.69,391.67,394.84,400.75
34584,397.05,396.85,403.88,404.47,407.1,397.79,396.69,391.67,394.84,400.75,397.05
34583,393.69,403.88,404.47,407.1,397.79,396.69,391.67,394.84,400.75,397.05,393.69
34579,391.41,404.47,407.1,397.79,396.69,391.67,394.84,400.75,397.05,393.69,391.41
34578,391.61,407.1,397.79,396.69,391.67,394.84,400.75,397.05,393.69,391.41,391.61
34577,397.9,397.79,396.69,391.67,394.84,400.75,397.05,393.69,391.41,391.61,397.9
34576,401.74,396.69,391.67,394.84,400.75,397.05,393.69,391.41,391.61,397.9,401.74
34575,398.44,391.67,394.84,400.75,397.05,393.69,391.41,391.61,397.9,401.74,398.44
34572,399.26,394.84,400.75,397.05,393.69,391.41,391.61,397.9,401.74,398.44,399.26
34571,391.49,400.75,397.05,393.69,391.41,391.61,397.9,401.74,398.44,399.26,391.49
34570,388.44,397.05,393.69,391.41,391.61,397.9,401.74,398.44,399.26,391.49,388.44
34569,386.74,393.69,391.41,391.61,397.9,401.74,398.44,399.26,391.49,388.44,386.74
34568,382.81,391.41,391.61,397.9,401.74,398.44,399.26,391.49,388.44,386.74,382.81
34565,384.12,391.61,397.9,401.74,398.44,399.26,391.49,388.44,386.74,382.81,384.12
34564,385.63,397.9,401.74,398.44,399.26,391.49,388.44,386.74,382.81,384.12,385.63
34563,386.9,401.74,398.44,399.26,391.49,388.44,386.74,382.81,384.12,385.63,386.9
34562,380.53,398.44,399.26,391.49,388.44,386.74,382.81,384.12,385.63,386.9,380.53
34561,377.08,399.26,391.49,388.44,386.74,382.81,384.12,385.63,386.9,380.53,377.08
34558,376.96,391.49,388.44,386.74,382.81,384.12,385.63,386.9,380.53,377.08,376.96
34557,374.49,388.44,386.74,382.81,384.12,385.63,386.9,380.53,377.08,376.96,374.49
34556,373.93,386.74,382.81,384.12,385.63,386.9,380.53,377.08,376.96,374.49,373.93
34555,370.66,382.81,384.12,385.63,386.9,380.53,377.08,376.96,374.49,373.93,370.66
34554,368.89,384.12,385.63,386.9,380.53,377.08,376.96,374.49,373.93,370.66,368.89
34551,367.15,385.63,386.9,380.53,377.08,376.96,374.49,373.93,370.66,368.89,367.15
34550,367.55,386.9,380.53,377.08,376.96,374.49,373.93,370.66,368.89,367.15,367.55
34549,370.48,380.53,377.08,376.96,374.49,373.93,370.66,368.89,367.15,367.55,370.48
34548,372.78,377.08,376.96,374.49,373.93,370.66,368.89,367.15,367.55,370.48,372.78
34547,373.58,376.96,374.49,373.93,370.66,368.89,367.15,367.55,370.48,372.78,373.58
34544,370.16,374.49,373.93,370.66,368.89,367.15,367.55,370.48,372.78,373.58,370.16
34543,362.14,373.93,370.66,368.89,367.15,367.55,370.48,372.78,373.58,370.16,362.14
34542,361.81,370.66,368.89,367.15,367.55,370.48,372.78,373.58,370.16,362.14,361.81
